BI-Vital CA7F, STM_FW 2.0-23-g1ecdf25, NRF_FW 2.0, Config #1379835368, Start Time 1970-01-01 00:00:09, Uptime 00:00:09, Global Update intervall 5 ms
Updatinterval [ms], 5, 5, 1280, 10000, 10000, 10000, 1000, 1000, 1000, 100, 10000
Time [s], Heartrate [bpm], RR-interval [ms], ECG-Quality [%], Temperature [Deg], Humidity [%], Pressure [hPa], Euler-yaw [Deg], Euler-roll [Deg], Euler-pitch [Deg], Button-press [], Battery [%]
   0.000,   0,    0,   0,       ,       ,        ,    0.00,    0.00,    0.00, very long,    
   0.115,    ,     ,    ,       ,       ,        ,        ,        ,        ,          ,    
   0.500,    ,     ,    ,       ,       ,        ,    4.12,  -67.88,    4.81,          ,    
   1.115,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
   1.850,    ,     ,    ,       ,       ,        ,   42.38,  -60.88,   14.19,          ,    
   2.115,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
   3.050,    ,     ,    ,       ,       ,        ,   56.69,  -74.12,  179.69,          ,    
   3.115,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
   4.115,    ,     ,    ,       ,       ,        ,  355.25,  -70.12,  -23.75,          ,    
   4.400,    ,     ,    ,       ,       ,        ,   41.25,  -70.62,   14.00,          ,    
   5.115,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
   5.600,    ,     ,    ,       ,       ,        ,   35.19,  -71.88,    9.56,          ,    
   6.115,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
   6.950,    ,     ,    ,       ,       ,        ,    4.50,  -78.19,   -7.19,          ,    
   7.115,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
   7.595,    ,     ,    ,       ,       ,        ,    5.31,  -76.31,   14.94,          ,    
   8.150,  14, 7931,    ,       ,       ,        ,        ,        ,        ,          ,    
   8.710,  93,  555,   0,       ,       ,        ,  358.56,  -73.06,   20.06,          ,    
   9.005, 104,  557,    ,       ,       ,        ,        ,        ,        ,          ,    
   9.115,    ,     ,    ,  29.90,  47.04, 1023.93,        ,        ,        ,          ,    
   9.120,    ,     ,    ,       ,       ,        ,  338.75,  -75.44,   10.19,          ,    
   9.405,    ,     ,    ,       ,       ,        ,        ,        ,        ,          ,  92
   9.500, 106,  697,    ,       ,       ,        ,        ,        ,        ,          ,    
  10.335,    ,     ,   0,       ,       ,        ,        ,        ,        ,          ,    
